kode,cmg,tipe,nomor,keparahan,deskripsi,regional,kelas_rs,kepemilikan,rawat,tarif_kelas3,tarif_kelas2,tarif_kelas1
A-4-10-I,A,4,10,I,SEPTIKEMIA (RINGAN),1,A,PEMERINTAH,INAP,3702300,4313200,4924100
A-4-10-II,A,4,10,II,SEPTIKEMIA (SEDANG),1,A,PEMERINTAH,INAP,6323900,7367300,8410800
A-4-10-III,A,4,10,III,SEPTIKEMIA (BERAT),1,A,PEMERINTAH,INAP,8526600,9933500,11340400
A-4-11-I,A,4,11,I,INFEKSI SESUDAH OPERASI & TRAUMA (RINGAN),1,A,PEMERINTAH,INAP,4917700,5729100,6540500
A-4-11-II,A,4,11,II,INFEKSI SESUDAH OPERASI & TRAUMA (SEDANG),1,A,PEMERINTAH,INAP,6465700,7532500,8599300
A-4-11-III,A,4,11,III,INFEKSI SESUDAH OPERASI & TRAUMA (BERAT),1,A,PEMERINTAH,INAP,8841500,10300300,11759200
A-4-12-I,A,4,12,I,DEMAM YANG TIDAK DITENTUKAN (RINGAN),1,A,PEMERINTAH,INAP,2927100,3410100,3893100
A-4-12-II,A,4,12,II,DEMAM YANG TIDAK DITENTUKAN (SEDANG),1,A,PEMERINTAH,INAP,5052600,5886300,6720000
A-4-12-III,A,4,12,III,DEMAM YANG TIDAK DITENTUKAN (BERAT),1,A,PEMERINTAH,INAP,7279900,8481100,9682300
A-4-13-I,A,4,13,I,INFEKSI VIRAL & NON-BAKTERIAL LAIN (RINGAN),1,A,PEMERINTAH,INAP,2178600,2538100,2897600
A-4-13-II,A,4,13,II,INFEKSI VIRAL & NON-BAKTERIAL LAIN (SEDANG),1,A,PEMERINTAH,INAP,3850100,4485400,5120700
A-4-13-III,A,4,13,III,INFEKSI VIRAL & NON-BAKTERIAL LAIN (BERAT),1,A,PEMERINTAH,INAP,4620100,5382400,6144800
A-4-14-I,A,4,14,I,PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,2449100,2853200,3257300
A-4-14-II,A,4,14,II,PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,4106400,4784000,5461500
A-4-14-III,A,4,14,III,PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,4927700,5740800,6553800
A-4-15-I,A,4,15,I,INFEKSI HIV (RINGAN),1,A,PEMERINTAH,INAP,19053700,22197500,25341300
